epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3282,1.15763,2.80542,1.42758,0.43233,0.41876,0.40018,0.26041,1.1979,2.01721,1.58714,0.00027678,0.00027678,0.00027678
2,111.043,1.22272,2.02058,1.44638,0.50349,0.39308,0.37102,0.24121,1.29467,2.10924,1.62883,0.000548957,0.000548957,0.000548957
3,167.505,1.21632,1.85791,1.44496,0.5505,0.45613,0.47554,0.29206,1.31804,1.78493,1.64746,0.000815637,0.000815637,0.000815637
4,228.018,1.22158,1.74811,1.45759,0.53184,0.47418,0.47868,0.30796,1.2564,1.90931,1.59088,0.00080826,0.00080826,0.00080826
5,290.84,1.19969,1.6178,1.43873,0.56353,0.53539,0.52043,0.34177,1.19114,1.53889,1.52333,0.000800013,0.000800013,0.000800013
6,354.983,1.14926,1.53797,1.4149,0.65462,0.56754,0.6078,0.41376,1.15235,1.36423,1.4795,0.000791767,0.000791767,0.000791767
7,418.669,1.15768,1.45655,1.40941,0.66899,0.56911,0.60346,0.40564,1.16945,1.41612,1.49608,0.00078352,0.00078352,0.00078352
8,482.966,1.1369,1.41158,1.38953,0.67404,0.51676,0.57161,0.38062,1.17569,1.39001,1.4957,0.000775273,0.000775273,0.000775273
9,547.853,1.13377,1.36501,1.38686,0.63113,0.58719,0.59329,0.41533,1.11734,1.29254,1.45848,0.000767026,0.000767026,0.000767026
10,613.633,1.10377,1.32771,1.3711,0.71075,0.58391,0.65091,0.44529,1.10173,1.19597,1.43236,0.00075878,0.00075878,0.00075878
11,682.936,1.09616,1.28068,1.3573,0.63437,0.56923,0.6001,0.41563,1.11621,1.41365,1.43326,0.000750533,0.000750533,0.000750533
12,750.808,1.08892,1.28634,1.35883,0.69852,0.59191,0.6484,0.45353,1.09215,1.20932,1.41843,0.000742286,0.000742286,0.000742286
13,818.964,1.08416,1.2497,1.35651,0.67622,0.62383,0.65451,0.46016,1.10014,1.15901,1.41723,0.00073404,0.00073404,0.00073404
14,888.421,1.07021,1.23365,1.35056,0.67856,0.56148,0.63827,0.43839,1.10316,1.2592,1.43757,0.000725793,0.000725793,0.000725793
15,957.872,1.0652,1.1858,1.33715,0.71504,0.60924,0.66806,0.47891,1.06021,1.09499,1.4036,0.000717546,0.000717546,0.000717546
16,1027.91,1.0582,1.1777,1.33902,0.74778,0.62296,0.69427,0.50252,1.03839,1.03882,1.37254,0.000709299,0.000709299,0.000709299
17,1098.4,1.05722,1.15536,1.33391,0.72817,0.62196,0.6661,0.48046,1.05458,1.04959,1.38925,0.000701053,0.000701053,0.000701053
18,1168.69,1.06178,1.14834,1.32785,0.70289,0.62589,0.66452,0.46657,1.071,1.07972,1.39912,0.000692806,0.000692806,0.000692806
19,1238.84,1.03896,1.12915,1.32233,0.73251,0.64298,0.69175,0.49897,1.04062,1.0303,1.3671,0.000684559,0.000684559,0.000684559
20,1308.48,1.03248,1.1027,1.31476,0.75074,0.64813,0.70533,0.50866,1.06351,1.02851,1.39289,0.000676313,0.000676313,0.000676313
21,1378.54,1.03577,1.08558,1.31308,0.72388,0.64364,0.69525,0.50142,1.01857,1.05906,1.35652,0.000668066,0.000668066,0.000668066
22,1448.55,1.02497,1.07493,1.30362,0.75553,0.63592,0.69695,0.50667,1.01865,1.00501,1.35822,0.000659819,0.000659819,0.000659819
23,1517.37,1.02419,1.05875,1.30957,0.72498,0.6609,0.71543,0.51913,1.01296,0.98524,1.34637,0.000651573,0.000651573,0.000651573
24,1586.2,1.01661,1.04734,1.30612,0.76544,0.66214,0.71118,0.51455,1.0028,0.9811,1.33005,0.000643326,0.000643326,0.000643326
25,1655.57,0.99985,1.04224,1.29681,0.73655,0.652,0.70681,0.51116,1.01709,0.96695,1.35367,0.000635079,0.000635079,0.000635079
26,1724,1.00444,1.02535,1.29658,0.70434,0.65626,0.69614,0.51224,1.01479,0.994,1.35117,0.000626832,0.000626832,0.000626832
27,1792.41,1.01225,1.02247,1.29645,0.74394,0.69897,0.73573,0.5345,1.01605,0.93208,1.34686,0.000618586,0.000618586,0.000618586
28,1861.44,1.01299,1.01382,1.29369,0.77227,0.65305,0.72252,0.52474,1.00383,0.93899,1.32763,0.000610339,0.000610339,0.000610339
29,1930.21,0.98509,0.9931,1.28996,0.75508,0.69145,0.73888,0.54547,1.00619,0.9094,1.33327,0.000602092,0.000602092,0.000602092
30,2000.48,0.99156,0.98601,1.27705,0.7317,0.69121,0.73609,0.5353,0.99767,0.91538,1.33611,0.000593846,0.000593846,0.000593846
31,2068.93,1.00967,0.97925,1.28534,0.75011,0.67329,0.72885,0.53729,0.99832,0.93728,1.32961,0.000585599,0.000585599,0.000585599
32,2138.57,0.98898,0.95783,1.2795,0.74313,0.66741,0.71584,0.52232,1.00019,0.96344,1.33954,0.000577352,0.000577352,0.000577352
33,2208.57,0.97352,0.95527,1.27373,0.72174,0.68432,0.72393,0.53501,0.99063,0.91513,1.33032,0.000569106,0.000569106,0.000569106
34,2276.44,0.98288,0.95475,1.2759,0.75829,0.65955,0.72301,0.53796,0.98817,0.9535,1.31497,0.000560859,0.000560859,0.000560859
35,2344.94,0.95434,0.94591,1.26375,0.73233,0.69631,0.72611,0.53305,0.99054,0.91521,1.31465,0.000552612,0.000552612,0.000552612
36,2412.95,0.97822,0.94481,1.27395,0.7757,0.66978,0.74363,0.54808,0.98361,0.90004,1.31862,0.000544365,0.000544365,0.000544365
37,2482.26,0.95865,0.92358,1.2648,0.73759,0.68827,0.7263,0.53078,0.98204,0.917,1.31601,0.000536119,0.000536119,0.000536119
38,2550.95,0.95652,0.89632,1.2617,0.7353,0.70669,0.74221,0.54504,0.98486,0.89083,1.32135,0.000527872,0.000527872,0.000527872
39,2619.8,0.96268,0.89309,1.2595,0.78469,0.68236,0.74722,0.55219,0.97357,0.8918,1.2914,0.000519625,0.000519625,0.000519625
40,2688.64,0.95975,0.88951,1.25832,0.76044,0.69807,0.73548,0.54064,0.96586,0.88557,1.30594,0.000511379,0.000511379,0.000511379
41,2758.62,0.95251,0.88127,1.25532,0.76637,0.66448,0.72388,0.53232,0.96244,0.91885,1.29096,0.000503132,0.000503132,0.000503132
42,2829.09,0.96108,0.89328,1.25056,0.77158,0.68114,0.73884,0.54825,0.97629,0.87769,1.30181,0.000494885,0.000494885,0.000494885
43,2903.4,0.94889,0.87056,1.24656,0.77607,0.69336,0.74013,0.5439,0.98286,0.89146,1.31664,0.000486639,0.000486639,0.000486639
44,2976.77,0.94855,0.871,1.2469,0.78941,0.67972,0.74313,0.54901,0.96939,0.89832,1.29311,0.000478392,0.000478392,0.000478392
45,3051.8,0.93411,0.84649,1.23992,0.76654,0.70223,0.74316,0.55259,0.97307,0.86813,1.30581,0.000470145,0.000470145,0.000470145
46,3127.06,0.94341,0.85433,1.23894,0.7723,0.68763,0.74157,0.55154,0.97869,0.86862,1.3076,0.000461898,0.000461898,0.000461898
47,3206.74,0.92943,0.85463,1.24035,0.78477,0.68522,0.7411,0.5498,0.97186,0.88936,1.31112,0.000453652,0.000453652,0.000453652
48,3284.58,0.93139,0.84101,1.2405,0.76704,0.69375,0.74314,0.55347,0.96922,0.8663,1.31165,0.000445405,0.000445405,0.000445405
49,3364.97,0.91666,0.83956,1.2369,0.7704,0.69628,0.73465,0.54419,0.96685,0.89737,1.30183,0.000437158,0.000437158,0.000437158
50,3446.4,0.90896,0.81183,1.23083,0.77796,0.69167,0.74792,0.54453,0.97496,0.87491,1.30796,0.000428912,0.000428912,0.000428912
