epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0897,1.13968,3.17102,1.42004,0.26113,0.35026,0.25029,0.15982,1.22406,2.22839,1.5882,0.00332268,0.00332268,0.00332268
2,129.173,1.20407,2.26222,1.43816,0.38238,0.35272,0.30997,0.19888,1.34621,2.53323,1.69619,0.00663405,0.00663405,0.00663405
3,194.1,1.27061,2.16664,1.48895,0.37021,0.28358,0.22333,0.12521,1.60987,2.61423,2.02894,0.00992342,0.00992342,0.00992342
4,261.292,1.34615,2.17859,1.55527,0.38096,0.44441,0.3274,0.18526,1.40806,2.19495,1.79106,0.009901,0.009901,0.009901
5,327.853,1.31616,2.01145,1.53714,0.49006,0.39327,0.36304,0.23051,1.3919,2.05831,1.75712,0.009868,0.009868,0.009868
6,396.033,1.26051,1.88048,1.4933,0.49788,0.41467,0.42071,0.27145,1.28637,1.97677,1.62928,0.009835,0.009835,0.009835
7,465.024,1.26316,1.78372,1.48324,0.65628,0.49185,0.5402,0.35581,1.24657,1.48042,1.57689,0.009802,0.009802,0.009802
8,532.768,1.24335,1.68826,1.46763,0.5914,0.50452,0.51214,0.34331,1.23167,1.56216,1.54683,0.009769,0.009769,0.009769
9,600.225,1.23801,1.64597,1.46136,0.62111,0.50043,0.53146,0.363,1.20453,1.50118,1.53889,0.009736,0.009736,0.009736
10,669.039,1.203,1.58129,1.44026,0.56451,0.50771,0.50518,0.34225,1.19515,1.51145,1.51212,0.009703,0.009703,0.009703
11,739.062,1.19446,1.52387,1.42127,0.63822,0.54579,0.56184,0.38701,1.17411,1.46518,1.49638,0.00967,0.00967,0.00967
12,807.628,1.18122,1.51406,1.4206,0.61809,0.49831,0.5267,0.35636,1.20312,1.55645,1.54787,0.009637,0.009637,0.009637
13,876.601,1.17607,1.47525,1.41296,0.6571,0.57036,0.60376,0.4195,1.13501,1.26873,1.48364,0.009604,0.009604,0.009604
14,945.017,1.16202,1.44282,1.4133,0.60719,0.52725,0.57135,0.38922,1.14885,1.37125,1.46948,0.009571,0.009571,0.009571
15,1014.65,1.15549,1.38734,1.39032,0.65956,0.58525,0.63265,0.44276,1.09383,1.25229,1.42536,0.009538,0.009538,0.009538
